solution_id,num_clusters_f2,disagreement_f1
solution_633,62,678.500000000001
solution_849,62,678.500000000001
solution_848,62,678.500000000001
solution_847,62,678.500000000001
solution_846,62,678.500000000001
solution_845,62,678.500000000001
solution_844,62,678.500000000001
solution_843,62,678.500000000001
solution_842,62,678.500000000001
solution_841,62,678.500000000001
solution_840,62,678.500000000001
solution_839,62,678.500000000001
solution_838,62,678.500000000001
solution_837,62,678.500000000001
solution_836,62,678.500000000001
solution_835,62,678.500000000001
solution_850,62,678.500000000001
solution_851,62,678.500000000001
solution_852,62,678.500000000001
solution_853,62,678.500000000001
solution_869,62,678.500000000001
solution_868,62,678.500000000001
solution_867,62,678.500000000001
solution_866,62,678.500000000001
solution_865,62,678.500000000001
solution_864,62,678.500000000001
solution_863,62,678.500000000001
solution_834,62,678.500000000001
solution_862,62,678.500000000001
solution_860,62,678.500000000001
solution_859,62,678.500000000001
solution_858,62,678.500000000001
solution_857,62,678.500000000001
solution_856,62,678.500000000001
solution_855,62,678.500000000001
solution_854,62,678.500000000001
solution_861,62,678.500000000001
solution_833,62,678.500000000001
solution_832,62,678.500000000001
solution_831,62,678.500000000001
solution_810,62,678.500000000001
solution_809,62,678.500000000001
solution_808,62,678.500000000001
solution_807,62,678.500000000001
solution_806,62,678.500000000001
solution_805,62,678.500000000001
solution_804,62,678.500000000001
solution_811,62,678.500000000001
solution_803,62,678.500000000001
solution_801,62,678.500000000001
solution_800,62,678.500000000001
solution_799,62,678.500000000001
solution_798,62,678.500000000001
solution_797,62,678.500000000001
solution_796,62,678.500000000001
solution_795,62,678.500000000001
solution_802,62,678.500000000001
solution_870,62,678.500000000001
solution_812,62,678.500000000001
solution_814,62,678.500000000001
solution_830,62,678.500000000001
solution_829,62,678.500000000001
solution_828,62,678.500000000001
solution_827,62,678.500000000001
solution_826,62,678.500000000001
solution_825,62,678.500000000001
solution_824,62,678.500000000001
solution_813,62,678.500000000001
solution_823,62,678.500000000001
solution_821,62,678.500000000001
solution_820,62,678.500000000001
solution_819,62,678.500000000001
solution_818,62,678.500000000001
solution_817,62,678.500000000001
solution_816,62,678.500000000001
solution_815,62,678.500000000001
solution_822,62,678.500000000001
solution_794,62,678.500000000001
solution_871,62,678.500000000001
solution_873,62,678.500000000001
solution_928,62,678.500000000001
solution_927,62,678.500000000001
solution_926,62,678.500000000001
solution_925,62,678.500000000001
solution_924,62,678.500000000001
solution_923,62,678.500000000001
solution_922,62,678.500000000001
solution_921,62,678.500000000001
solution_920,62,678.500000000001
solution_919,62,678.500000000001
solution_918,62,678.500000000001
solution_917,62,678.500000000001
solution_916,62,678.500000000001
solution_915,62,678.500000000001
solution_914,62,678.500000000001
solution_929,62,678.500000000001
solution_930,62,678.500000000001
